Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.141452806250045,0.213872102188247,0.268022885593013,0,0,0,0.376485958847895,0.00599866182917377,-5.71160033180147E-08,1.36031685774139E-06,0.0112555868666883,5.22807789062921E-07,0.00599669939937149,0,0,0,0,0,0,package://manipulator_drone/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://manipulator_drone/meshes/base_link.STL,,drone-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
prop1,0.015674,5.3103E-07,2.1609E-08,0,0,0,0.012431,2.5392E-05,5.8618E-11,-3.5813E-13,2.548E-05,-2.8652E-07,5.1399E-07,0,0,0,0,0,0,package://manipulator_drone/meshes/prop1.STL,1,1,1,1,0,0,0,0,0,0,package://manipulator_drone/meshes/prop1.STL,,prop-3,Origin_prop1,Axis_prop1,prop1,revolute,0.297,-0.42359,0.25709,2.8056,-1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
prop2,0.015674,5.3103E-07,2.1609E-08,0,0,0,0.012431,2.5392E-05,5.8618E-11,-3.5813E-13,2.548E-05,-2.8652E-07,5.1399E-07,0,0,0,0,0,0,package://manipulator_drone/meshes/prop2.STL,1,1,1,1,0,0,0,0,0,0,package://manipulator_drone/meshes/prop2.STL,,prop-4,Origin_prop2,Axis_prop2,prop2,revolute,0.297,-0.11246,0.25709,2.4199,-1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
prop3,0.015674,5.3103E-07,2.1609E-08,0,0,0,0.012431,2.5392E-05,5.8618E-11,-3.5813E-13,2.548E-05,-2.8652E-07,5.1399E-07,0,0,0,0,0,0,package://manipulator_drone/meshes/prop3.STL,1,1,1,1,0,0,0,0,0,0,package://manipulator_drone/meshes/prop3.STL,,prop-1,Origin_prop3,Axis_prop3,prop3,revolute,-0.014129,-0.11246,0.25709,2.9173,-1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
prop4,0.015674,5.3103E-07,2.1609E-08,0,0,0,0.012431,2.5392E-05,5.8618E-11,-3.5813E-13,2.548E-05,-2.8652E-07,5.1399E-07,0,0,0,0,0,0,package://manipulator_drone/meshes/prop4.STL,1,1,1,1,0,0,0,0,0,0,package://manipulator_drone/meshes/prop4.STL,,prop-2,Origin_prop4,Axis_prop4,prop4,revolute,-0.014129,-0.42359,0.25709,2.8341,-1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
arm1,0.015,0.060915,-3.8858E-16,0,0,0,0.068734,0.00014566,-9.7142E-19,3.5965E-20,9.8878E-06,4.3672E-19,0.00015105,0,0,0,0,0,0,package://manipulator_drone/meshes/arm1.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://manipulator_drone/meshes/arm1.STL,,arm_1-2,Origin_manipulator_joint_1,Axis_manipulator_joint_1,manipulator_joint_1,revolute,0.12643,-0.26803,0.24709,1.6095,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
arm2,0.015,0.027141,1.6653E-16,0,0,0,0.034551,1.073E-05,4.3736E-20,1.4977E-20,3.9851E-06,-2.2552E-20,1.243E-05,0,0,0,0,0,0,package://manipulator_drone/meshes/arm2.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://manipulator_drone/meshes/arm2.STL,,arm_2-1,Origin_manipulator_joint_2,Axis_manipulator_joint_2,manipulator_joint_2,revolute,0,0.13,0,-1.4188,0,0,arm1,1,0,0,0,0,0,0,,,,,,,,
